id,y
VGSH,60.395943
JEF,20.484234
IVZ,17.016321
KTCC,5.578807
FBZ,14.557187
PLOW,52.009193
JBK,28.787363
IAC,223.26967
IVR,13.933818
VSH,18.710354
VCV,12.439866
OKE,70.90166
ROK,195.8655
FTAG,23.229004
BRKR,49.762077
GSK,43.398483
JPS,9.83579
SRPT,107.210075
VMI,139.49918
IMKTA,42.004192
BDR,0.64678687
JAKK,0.90240246
MVC,8.968609
AMSF,65.18321
APTO,2.4056225
CNX,7.576272
XOMA,23.902678
LBY,1.576698
BIOL,0.5883725
PAAS,18.417677
KOF,58.084133
LAC,2.8409379
EML,27.040394
IVC,9.298262
TILE,16.760643
IEF,111.8017
CSV,23.456059
QADA,48.282967
TBNK,30.17872
HOG,35.76324
WIW,10.932128
SVBI,8.701464
PKOH,31.963598
CREG,0.3629074
LOGM,76.73074
ERII,8.704386
PEBO,32.313156
PEER,1.5496675
ORA,76.80698
RIO,51.26658
BPOPM,25.930832
PDLI,2.9594727
RYN,29.918976
UNAM,6.3963113
PFD,15.738685
CALX,7.5999064
SNSS,0.47592664
TCF,41.17629
MTRX,19.666988
AVGO,306.8774
MSM,69.8624
REV,23.414347
HSY,147.08698
PEP,132.77731
REED,0.7858013
HPQ,19.477615
BKTI,3.0209723
MPB,26.973589
AAON,48.362656
PSO,8.16059
CIG,2.985251
NAC,14.557187
OPNT,13.957639
RE,264.5393
SES,5.8265505
RTN,215.41661
WST,146.99773
HIHO,1.9426407
FLC,22.057348
EFT,12.917288
DCI,54.174152
IIF,19.549866
BANC,15.05465
CRS,51.43455
GAIN,13.585125
UHT,111.8017
TMO,305.05777
MFNC,15.70775
TEX,27.908867
LTBR,4.4301763
QGEN,41.57602
EVV,12.439866
BBY,71.46328
MRKR,2.8409379
CSQ,12.938339
KBAL,20.893528
QRHC,2.4610322
ANIP,57.578217
FMBH,34.507317
HFBL,37.5649
PSCH,122.138916
SVT,10.4322195
NATI,41.94186
ADMP,1.3409531
CIT,44.784927
HEAR,8.272105
NC,47.576294
USAP,14.22253
IBIO,0.30567646
ACAD,47.11408
CP,235.28508
SVVC,6.1999
VONE,141.83698
FUN,53.64305
KT,11.467266
AIRI,1.3584977
NXTG,52.402718
EMX,1.3409531
TGC,0.60927075
SXI,75.154076
AGNC,16.760643
IMMU,18.566975
KSS,45.058952
PRA,36.768764
ROLL,162.49422
INTG,34.41221
VTA,10.842852
KRC,80.05365
NATH,75.609924
OTTR,48.716278
VIAV,15.082978
ICLR,156.10622
